Date,AQI,mainPollutant,City,State
4/5/2020,58,Ozone,Birmingham,Alabama
4/6/2020,74,Ozone,Birmingham,Alabama
4/7/2020,60,PM2.5,Birmingham,Alabama
4/8/2020,56,PM2.5,Birmingham,Alabama
4/9/2020,44,Ozone,Birmingham,Alabama
4/10/2020,46,Ozone,Birmingham,Alabama
4/11/2020,58,Ozone,Birmingham,Alabama
4/12/2020,59,PM2.5,Birmingham,Alabama
4/13/2020,48,PM2.5,Birmingham,Alabama
3/29/2020,21,PM2.5,Anchorage,Alaska
3/30/2020,23,PM2.5,Anchorage,Alaska
3/31/2020,24,PM2.5,Anchorage,Alaska
4/1/2020,21,PM2.5,Anchorage,Alaska
4/2/2020,18,PM2.5,Anchorage,Alaska
4/3/2020,15,PM2.5,Anchorage,Alaska
4/4/2020,19,PM2.5,Anchorage,Alaska
4/5/2020,13,PM2.5,Anchorage,Alaska
4/6/2020,13,PM2.5,Anchorage,Alaska
4/7/2020,13,PM2.5,Anchorage,Alaska
4/8/2020,9,PM2.5,Anchorage,Alaska
4/9/2020,18,PM2.5,Anchorage,Alaska
4/10/2020,28,PM2.5,Anchorage,Alaska
4/11/2020,35,PM2.5,Anchorage,Alaska
4/12/2020,25,PM2.5,Anchorage,Alaska
4/13/2020,17,PM2.5,Anchorage,Alaska
4/1/2020,74,Ozone,Phoenix,Arizona
4/2/2020,50,Ozone,Phoenix,Arizona
4/3/2020,58,Ozone,Phoenix,Arizona
4/4/2020,71,Ozone,Phoenix,Arizona
4/5/2020,48,Ozone,Phoenix,Arizona
4/6/2020,48,Ozone,Phoenix,Arizona
4/7/2020,46,Ozone,Phoenix,Arizona
4/8/2020,40,Ozone,Phoenix,Arizona
4/9/2020,58,Ozone,Phoenix,Arizona
4/10/2020,74,Ozone,Phoenix,Arizona
4/11/2020,45,Ozone,Phoenix,Arizona
4/12/2020,47,Ozone,Phoenix,Arizona
4/13/2020,46,Ozone,Phoenix,Arizona
4/1/2020,51,Ozone,Little Rock,Arkansas
4/2/2020,50,PM2.5,Little Rock,Arkansas
4/3/2020,50,PM2.5,Little Rock,Arkansas
4/4/2020,28,PM2.5,Little Rock,Arkansas
4/5/2020,43,Ozone,Little Rock,Arkansas
4/6/2020,46,PM2.5,Little Rock,Arkansas
4/7/2020,46,PM2.5,Little Rock,Arkansas
4/8/2020,53,PM2.5,Little Rock,Arkansas
4/10/2020,41,Ozone,Little Rock,Arkansas
4/11/2020,40,PM2.5,Little Rock,Arkansas
4/12/2020,41,Ozone,Little Rock,Arkansas
4/13/2020,37,Ozone,Little Rock,Arkansas
3/20/2020,43,Ozone,Los Angeles,California
3/21/2020,47,Ozone,Los Angeles,California
3/22/2020,43,Ozone,Los Angeles,California
3/23/2020,45,Ozone,Los Angeles,California
3/24/2020,43,Ozone,Los Angeles,California
3/25/2020,44,Ozone,Los Angeles,California
3/26/2020,45,Ozone,Los Angeles,California
3/27/2020,47,Ozone,Los Angeles,California
3/28/2020,54,Ozone,Los Angeles,California
3/29/2020,54,Ozone,Los Angeles,California
3/30/2020,54,Ozone,Los Angeles,California
3/31/2020,74,Ozone,Los Angeles,California
4/1/2020,67,Ozone,Los Angeles,California
4/2/2020,50,PM2.5,Los Angeles,California
4/3/2020,54,Ozone,Los Angeles,California
4/4/2020,51,Ozone,Los Angeles,California
4/5/2020,37,Ozone,Los Angeles,California
4/6/2020,42,Ozone,Los Angeles,California
4/7/2020,40,Ozone,Los Angeles,California
4/8/2020,43,Ozone,Los Angeles,California
4/9/2020,35,Ozone,Los Angeles,California
4/10/2020,42,Ozone,Los Angeles,California
4/11/2020,49,Ozone,Los Angeles,California
4/12/2020,40,Ozone,Los Angeles,California
4/13/2020,38,Ozone,Los Angeles,California
3/27/2020,45,Ozone,Denver,Colorado
3/28/2020,50,Ozone,Denver,Colorado
3/29/2020,47,Ozone,Denver,Colorado
3/30/2020,45,Ozone,Denver,Colorado
3/31/2020,48,Ozone,Denver,Colorado
4/1/2020,51,Ozone,Denver,Colorado
4/2/2020,31,Ozone,Denver,Colorado
4/3/2020,41,PM2.5,Denver,Colorado
4/4/2020,44,Ozone,Denver,Colorado
4/5/2020,48,Ozone,Denver,Colorado
4/6/2020,54,Ozone,Denver,Colorado
4/7/2020,64,Ozone,Denver,Colorado
4/8/2020,51,Ozone,Denver,Colorado
4/9/2020,50,Ozone,Denver,Colorado
4/10/2020,54,Ozone,Denver,Colorado
4/11/2020,58,Ozone,Denver,Colorado
4/12/2020,44,Ozone,Denver,Colorado
4/13/2020,44,Ozone,Denver,Colorado
3/24/2020,43,Ozone,Bridgeport,Connecticut
3/25/2020,40,Ozone,Bridgeport,Connecticut
3/26/2020,39,Ozone,Bridgeport,Connecticut
3/27/2020,48,Ozone,Bridgeport,Connecticut
3/28/2020,46,Ozone,Bridgeport,Connecticut
3/29/2020,46,Ozone,Bridgeport,Connecticut
3/30/2020,38,Ozone,Bridgeport,Connecticut
3/31/2020,43,Ozone,Bridgeport,Connecticut
4/1/2020,47,Ozone,Bridgeport,Connecticut
4/2/2020,44,Ozone,Bridgeport,Connecticut
4/3/2020,38,Ozone,Bridgeport,Connecticut
4/4/2020,44,Ozone,Bridgeport,Connecticut
4/5/2020,43,PM2.5,Bridgeport,Connecticut
4/6/2020,44,Ozone,Bridgeport,Connecticut
4/7/2020,51,Ozone,Bridgeport,Connecticut
4/8/2020,44,Ozone,Bridgeport,Connecticut
4/9/2020,46,Ozone,Bridgeport,Connecticut
4/10/2020,41,Ozone,Bridgeport,Connecticut
4/11/2020,48,Ozone,Bridgeport,Connecticut
4/12/2020,51,Ozone,Bridgeport,Connecticut
4/13/2020,50,Ozone,Bridgeport,Connecticut
3/25/2020,39,Ozone,Dover,Delaware
3/26/2020,37,PM2.5,Dover,Delaware
3/27/2020,39,PM2.5,Dover,Delaware
3/28/2020,43,Ozone,Dover,Delaware
3/29/2020,33,PM2.5,Dover,Delaware
3/30/2020,38,Ozone,Dover,Delaware
3/31/2020,39,Ozone,Dover,Delaware
4/1/2020,42,Ozone,Dover,Delaware
4/2/2020,44,Ozone,Dover,Delaware
4/3/2020,39,Ozone,Dover,Delaware
4/4/2020,33,Ozone,Dover,Delaware
4/5/2020,37,Ozone,Dover,Delaware
4/6/2020,44,Ozone,Dover,Delaware
4/7/2020,54,PM2.5,Dover,Delaware
4/8/2020,46,Ozone,Dover,Delaware
4/9/2020,45,Ozone,Dover,Delaware
4/10/2020,39,Ozone,Dover,Delaware
4/11/2020,44,Ozone,Dover,Delaware
4/12/2020,47,Ozone,Dover,Delaware
4/13/2020,43,Ozone,Dover,Delaware
4/4/2020,84,Ozone,Jacksonville,Florida
4/5/2020,57,PM2.5,Jacksonville,Florida
4/6/2020,46,Ozone,Jacksonville,Florida
4/7/2020,51,Ozone,Jacksonville,Florida
4/8/2020,48,PM2.5,Jacksonville,Florida
4/9/2020,59,PM2.5,Jacksonville,Florida
4/10/2020,48,PM2.5,Jacksonville,Florida
4/11/2020,54,Ozone,Jacksonville,Florida
4/12/2020,57,PM2.5,Jacksonville,Florida
4/13/2020,61,PM2.5,Jacksonville,Florida
4/4/2020,54,PM2.5,Atlanta,Georgia
4/5/2020,71,PM2.5,Atlanta,Georgia
4/6/2020,61,PM2.5,Atlanta,Georgia
4/7/2020,76,PM2.5,Atlanta,Georgia
4/8/2020,66,PM2.5,Atlanta,Georgia
4/9/2020,43,Ozone,Atlanta,Georgia
4/10/2020,44,Ozone,Atlanta,Georgia
4/11/2020,50,Ozone,Atlanta,Georgia
4/12/2020,63,PM2.5,Atlanta,Georgia
4/13/2020,42,Ozone,Atlanta,Georgia
3/26/2020,36,Ozone,Honolulu,Hawaii
3/27/2020,45,PM2.5,Honolulu,Hawaii
3/28/2020,32,Ozone,Honolulu,Hawaii
3/29/2020,26,Ozone,Honolulu,Hawaii
3/30/2020,25,PM2.5,Honolulu,Hawaii
3/31/2020,20,Ozone,Honolulu,Hawaii
4/1/2020,34,Ozone,Honolulu,Hawaii
4/2/2020,22,Ozone,Honolulu,Hawaii
4/3/2020,23,Ozone,Honolulu,Hawaii
