,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,79,PM2.5,Idaho City,16-015-0001,AQS,8,28,0,13,79.0,.,43.615,-116.2023,Boise,2020-03-25,228790
1,2019-01-02,52,PM2.5,Idaho City,16-015-0001,AQS,9,22,0,9,52.0,.,43.615,-116.2023,Boise,2020-03-25,228790
2,2019-01-03,46,PM2.5,Idaho City,16-015-0001,AQS,9,21,1,16,46.0,.,43.615,-116.2023,Boise,2020-03-25,228790
3,2019-01-04,55,PM2.5,Idaho City,16-015-0001,AQS,15,18,1,27,55.0,.,43.615,-116.2023,Boise,2020-03-25,228790
4,2019-01-05,70,PM2.5,Idaho City,16-015-0001,AQS,15,33,3,18,70.0,.,43.615,-116.2023,Boise,2020-03-25,228790
5,2019-01-06,58,PM2.5,Idaho City,16-015-0001,AQS,9,31,0,9,58.0,.,43.615,-116.2023,Boise,2020-03-25,228790
6,2019-01-07,36,PM2.5,Idaho City,16-015-0001,AQS,9,31,0,10,36.0,.,43.615,-116.2023,Boise,2020-03-25,228790
7,2019-01-08,46,PM2.5,Idaho City,16-015-0001,AQS,10,29,0,13,46.0,.,43.615,-116.2023,Boise,2020-03-25,228790
8,2019-01-09,80,PM2.5,Idaho City,16-015-0001,AQS,10,22,0,14,80.0,.,43.615,-116.2023,Boise,2020-03-25,228790
9,2019-01-10,72,PM2.5,Idaho City,16-015-0001,AQS,7,23,1,19,72.0,.,43.615,-116.2023,Boise,2020-03-25,228790
10,2019-01-11,54,PM2.5,Idaho City,16-015-0001,AQS,7,24,1,11,54.0,.,43.615,-116.2023,Boise,2020-03-25,228790
11,2019-01-12,61,PM2.5,Idaho City,16-015-0001,AQS,6,28,1,10,61.0,.,43.615,-116.2023,Boise,2020-03-25,228790
12,2019-01-13,62,PM2.5,Idaho City,16-015-0001,AQS,7,24,0,16,62.0,.,43.615,-116.2023,Boise,2020-03-25,228790
