,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,26,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,10,17,3.0,6.0,26.0,10.0,42.3314,-83.0458,Detroit,2020-03-24,672662
1,2019-01-02,33,PM2.5,Southwestern H.S.,26-163-0015,AQS,11,21,6.0,12.0,33.0,32.0,42.3314,-83.0458,Detroit,2020-03-24,672662
2,2019-01-03,50,PM2.5,Southwestern H.S.,26-163-0015,AQS,11,19,3.0,20.0,50.0,25.0,42.3314,-83.0458,Detroit,2020-03-24,672662
3,2019-01-04,97,PM2.5,FIA/Lafayette,26-163-0039,AirNow,17,14,7.0,34.0,97.0,37.0,42.3314,-83.0458,Detroit,2020-03-24,672662
4,2019-01-05,97,PM2.5,FIA/Lafayette,26-163-0039,AirNow,20,19,23.0,27.0,97.0,35.0,42.3314,-83.0458,Detroit,2020-03-24,672662
5,2019-01-06,29,Ozone,Allen Park,26-163-0001,AQS,7,29,7.0,13.0,23.0,15.0,42.3314,-83.0458,Detroit,2020-03-24,672662
6,2019-01-07,43,SO2,TRINITY ST MARKS (GHIB),26-163-0099,AQS,7,25,43.0,17.0,32.0,27.0,42.3314,-83.0458,Detroit,2020-03-24,672662
7,2019-01-08,108,PM2.5,Southwestern H.S.,26-163-0015,AQS,8,22,3.0,43.0,108.0,30.0,42.3314,-83.0458,Detroit,2020-03-24,672662
8,2019-01-09,38,PM2.5,Southwestern H.S.,26-163-0015,AQS,6,25,4.0,37.0,38.0,15.0,42.3314,-83.0458,Detroit,2020-03-24,672662
9,2019-01-10,47,PM10,,26-163-1005,AQS,7,29,4.0,47.0,30.0,34.0,42.3314,-83.0458,Detroit,2020-03-24,672662
10,2019-01-11,62,SO2,Port Huron,26-147-0005,AQS,9,23,62.0,28.0,45.0,37.0,42.3314,-83.0458,Detroit,2020-03-24,672662
11,2019-01-12,54,PM2.5,LIVONIA-NR,26-163-0095,AQS,8,27,41.0,20.0,54.0,25.0,42.3314,-83.0458,Detroit,2020-03-24,672662
12,2019-01-13,43,PM2.5,Military Park (GHIB),26-163-0100,AQS,9,22,17.0,11.0,43.0,31.0,42.3314,-83.0458,Detroit,2020-03-24,672662
13,2019-01-14,68,PM2.5,Southwestern H.S.,26-163-0015,AQS,16,19,26.0,42.0,68.0,45.0,42.3314,-83.0458,Detroit,2020-03-24,672662
14,2019-01-15,69,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,7,24,1.0,50.0,69.0,33.0,42.3314,-83.0458,Detroit,2020-03-24,672662
15,2019-01-16,30,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,25,4.0,22.0,30.0,29.0,42.3314,-83.0458,Detroit,2020-03-24,672662
16,2019-01-17,63,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,23,17.0,27.0,63.0,37.0,42.3314,-83.0458,Detroit,2020-03-24,672662
17,2019-01-18,65,PM2.5,Military Park (GHIB),26-163-0100,AQS,7,21,6.0,23.0,65.0,26.0,42.3314,-83.0458,Detroit,2020-03-24,672662
18,2019-01-19,31,Ozone,Allen Park,26-163-0001,AQS,6,31,11.0,9.0,30.0,15.0,42.3314,-83.0458,Detroit,2020-03-24,672662
19,2019-01-20,31,Ozone,Allen Park,26-163-0001,AQS,6,31,13.0,18.0,26.0,19.0,42.3314,-83.0458,Detroit,2020-03-24,672662
20,2019-01-21,43,PM2.5,Southwestern H.S.,26-163-0015,AQS,8,24,3.0,27.0,43.0,40.0,42.3314,-83.0458,Detroit,2020-03-24,672662
21,2019-01-22,54,PM2.5,Military Park (GHIB),26-163-0100,AQS,8,28,44.0,30.0,54.0,44.0,42.3314,-83.0458,Detroit,2020-03-24,672662
22,2019-01-23,49,PM2.5,Military Park (GHIB),26-163-0100,AQS,8,25,7.0,8.0,49.0,31.0,42.3314,-83.0458,Detroit,2020-03-24,672662
23,2019-01-24,50,PM2.5,Southwestern H.S.,26-163-0015,AQS,9,25,1.0,22.0,50.0,25.0,42.3314,-83.0458,Detroit,2020-03-24,672662
