,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,22,PM2.5,Indpls.- I 70,18-097-0087,AirNow,5,20,0,.,22,6,39.7684,-86.1581,Indianapolis,2020-03-24,867125
1,2019-01-02,40,PM2.5,Indpls.- I 70,18-097-0087,AirNow,5,19,1,.,40,11,39.7684,-86.1581,Indianapolis,2020-03-24,867125
2,2019-01-03,39,PM2.5,Indpls- E. Michigan St./ Thomas Gregg Sch. 15,18-097-0083,AQS,5,23,1,25,39,25,39.7684,-86.1581,Indianapolis,2020-03-24,867125
3,2019-01-04,58,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,29,30,.,58,34,39.7684,-86.1581,Indianapolis,2020-03-24,867125
4,2019-01-05,53,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,24,1,.,53,23,39.7684,-86.1581,Indianapolis,2020-03-24,867125
5,2019-01-06,62,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,6,22,1,17,62,22,39.7684,-86.1581,Indianapolis,2020-03-24,867125
6,2019-01-07,49,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,32,1,.,49,11,39.7684,-86.1581,Indianapolis,2020-03-24,867125
7,2019-01-08,41,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,30,1,.,41,19,39.7684,-86.1581,Indianapolis,2020-03-24,867125
8,2019-01-09,25,Ozone,Helmsburg,18-013-0001,AQS,2,25,0,21,23,12,39.7684,-86.1581,Indianapolis,2020-03-24,867125
9,2019-01-10,50,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,28,4,10,50,24,39.7684,-86.1581,Indianapolis,2020-03-24,867125
10,2019-01-11,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,28,4,16,62,19,39.7684,-86.1581,Indianapolis,2020-03-24,867125
11,2019-01-12,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,26,3,14,62,18,39.7684,-86.1581,Indianapolis,2020-03-24,867125
12,2019-01-13,65,SO2,AES/IPL- Eagle Valley/Centerton,18-109-1001,AQS,2,32,65,12,62,31,39.7684,-86.1581,Indianapolis,2020-03-24,867125
13,2019-01-14,74,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,35,3,19,74,44,39.7684,-86.1581,Indianapolis,2020-03-24,867125
14,2019-01-15,72,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,33,6,19,72,23,39.7684,-86.1581,Indianapolis,2020-03-24,867125
15,2019-01-16,45,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,24,1,5,45,25,39.7684,-86.1581,Indianapolis,2020-03-24,867125
16,2019-01-17,71,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,19,1,9,71,21,39.7684,-86.1581,Indianapolis,2020-03-24,867125
17,2019-01-18,68,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,24,3,14,68,23,39.7684,-86.1581,Indianapolis,2020-03-24,867125
18,2019-01-19,38,PM2.5,Anderson- Eastside Elem. School,18-095-0011,AQS,2,35,29,5,38,15,39.7684,-86.1581,Indianapolis,2020-03-24,867125
19,2019-01-20,36,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,3,36,7,2,24,33,39.7684,-86.1581,Indianapolis,2020-03-24,867125
20,2019-01-21,46,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,34,4,13,46,27,39.7684,-86.1581,Indianapolis,2020-03-24,867125
21,2019-01-22,44,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,34,4,11,44,15,39.7684,-86.1581,Indianapolis,2020-03-24,867125
22,2019-01-23,61,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,31,1,4,61,25,39.7684,-86.1581,Indianapolis,2020-03-24,867125
23,2019-01-24,56,PM2.5,Indpls- West St.,18-097-0043,AQS,5,32,1,14,56,22,39.7684,-86.1581,Indianapolis,2020-03-24,867125
24,2019-01-25,32,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,2,32,1,12,23,20,39.7684,-86.1581,Indianapolis,2020-03-24,867125
25,2019-01-26,56,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,28,3,11,56,14,39.7684,-86.1581,Indianapolis,2020-03-24,867125
