,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,67,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,19,39,3.0,23.0,67.0,37.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
1,2019-01-02,93,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,36,3.0,22.0,93.0,68.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
2,2019-01-03,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,19,33,6.0,44.0,67.0,64.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
3,2019-01-04,85,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,20,30,4.0,30.0,85.0,61.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
4,2019-01-05,83,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,35,1.0,26.0,83.0,44.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
5,2019-01-06,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,6,39,1.0,11.0,52.0,33.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
6,2019-01-07,53,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,15,38,1.0,14.0,51.0,53.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
7,2019-01-08,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,18,37,1.0,16.0,62.0,53.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
8,2019-01-09,74,PM2.5,Compton,06-037-1302,AQS,25,36,4.0,35.0,74.0,48.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
9,2019-01-10,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,18,35,1.0,23.0,67.0,47.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
10,2019-01-11,91,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,28,1.0,29.0,91.0,35.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
11,2019-01-12,51,PM2.5,Long Beach (North),06-037-4002,AQS,15,39,0.0,8.0,51.0,36.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
12,2019-01-13,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,39,3.0,13.0,67.0,45.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
13,2019-01-14,53,PM2.5,Reseda,06-037-1201,AQS,16,39,0.0,6.0,53.0,43.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
14,2019-01-15,46,PM2.5,Reseda,06-037-1201,AQS,9,39,0.0,8.0,46.0,42.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
15,2019-01-16,38,NO2,LAX Hastings,06-037-5005,AQS,6,35,1.0,3.0,25.0,38.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
16,2019-01-17,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,9,31,0.0,3.0,27.0,44.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
17,2019-01-18,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,36,1.0,25.0,57.0,43.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
18,2019-01-19,53,PM2.5,Long Beach (South),06-037-4004,AQS,14,37,0.0,19.0,53.0,41.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
19,2019-01-20,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,16,36,4.0,8.0,45.0,29.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
20,2019-01-21,40,Ozone,Azusa,06-037-0002,AQS,7,40,0.0,34.0,23.0,39.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
21,2019-01-22,71,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,16,43,1.0,19.0,51.0,71.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
22,2019-01-23,63,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,19,34,1.0,19.0,60.0,63.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
23,2019-01-24,76,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,38,4.0,27.0,65.0,76.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
24,2019-01-25,62,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,18,44,1.0,15.0,55.0,62.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
25,2019-01-26,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,24,44,14.0,19.0,62.0,57.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
26,2019-01-27,81,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,33,48,11.0,40.0,81.0,50.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
27,2019-01-28,106,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,44,7.0,39.0,106.0,77.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
28,2019-01-29,95,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,18,44,3.0,32.0,95.0,67.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
29,2019-01-30,72,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,11,42,1.0,31.0,72.0,40.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
30,2019-01-31,66,PM2.5,Glendora,06-037-0016,AQS,9,31,1.0,22.0,66.0,31.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
31,2019-02-01,40,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,36,1.0,10.0,40.0,37.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
32,2019-02-02,41,Ozone,Lancaster-Division Street,06-037-9033,AQS,7,41,0.0,12.0,30.0,26.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
33,2019-02-03,41,Ozone,LAX Hastings,06-037-5005,AQS,7,41,0.0,6.0,33.0,25.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
34,2019-02-04,42,Ozone,LAX Hastings,06-037-5005,AQS,7,42,0.0,5.0,24.0,40.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
35,2019-02-05,46,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,7,41,0.0,5.0,26.0,46.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
36,2019-02-06,52,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,9,39,0.0,9.0,28.0,52.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
37,2019-02-07,56,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,9,40,3.0,14.0,56.0,49.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
38,2019-02-08,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,13,44,3.0,22.0,59.0,56.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
39,2019-02-09,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10,42,1.0,11.0,57.0,40.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
40,2019-02-10,42,Ozone,LAX Hastings,06-037-5005,AQS,13,42,3.0,8.0,40.0,32.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
41,2019-02-11,57,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,44,1.0,13.0,38.0,57.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
42,2019-02-12,54,PM2.5,Reseda,06-037-1201,AQS,16,34,3.0,16.0,54.0,50.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
43,2019-02-13,43,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,40,1.0,13.0,43.0,42.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
44,2019-02-14,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,43,0.0,12.0,38.0,44.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
45,2019-02-15,43,Ozone,Mission Viejo,06-059-2022,AQS,14,43,3.0,11.0,39.0,36.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
46,2019-02-16,42,Ozone,Mission Viejo,06-059-2022,AQS,7,42,1.0,6.0,24.0,28.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
47,2019-02-17,44,Ozone,LAX Hastings,06-037-5005,AQS,7,44,1.0,10.0,27.0,24.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
48,2019-02-18,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,42,1.0,8.0,24.0,44.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
49,2019-02-19,54,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,9,44,1.0,13.0,41.0,54.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
50,2019-02-20,50,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,41,1.0,34.0,50.0,40.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
51,2019-02-21,53,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,40,0.0,7.0,53.0,52.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
52,2019-02-22,55,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,43,1.0,12.0,55.0,45.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
53,2019-02-23,52,PM2.5,Reseda,06-037-1201,AQS,13,49,4.0,13.0,52.0,37.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
54,2019-02-24,63,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,50,1.0,17.0,63.0,37.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
55,2019-02-25,61,Ozone,Mission Viejo,06-059-2022,AQS,15,61,6.0,19.0,60.0,48.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
56,2019-02-26,66,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,10,48,3.0,37.0,66.0,43.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
57,2019-02-27,58,PM2.5,Glendora,06-037-0016,AQS,8,44,1.0,19.0,58.0,38.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
58,2019-02-28,57,PM2.5,Glendora,06-037-0016,AQS,8,36,1.0,15.0,57.0,29.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
59,2019-03-01,59,PM2.5,Glendora,06-037-0016,AQS,8,37,1.0,17.0,59.0,30.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
60,2019-03-02,40,PM2.5,Glendora,06-037-0016,AQS,8,36,1.0,6.0,40.0,31.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
61,2019-03-03,38,Ozone,Mission Viejo,06-059-2022,AQS,7,38,0.0,3.0,30.0,15.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
62,2019-03-04,42,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,37,0.0,16.0,32.0,42.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
63,2019-03-05,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,39,1.0,19.0,59.0,41.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
64,2019-03-06,44,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,37,1.0,8.0,44.0,37.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
65,2019-03-07,43,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,7,42,0.0,7.0,32.0,43.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
66,2019-03-08,46,Ozone,Mission Viejo,06-059-2022,AQS,7,46,0.0,9.0,28.0,43.0,34.0522,-118.2437,Los_Angeles,2020-03-19,3990456
