,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0.0,25.0,29.0,18.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
1,2019-01-02,40,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,19,0.0,15.0,40.0,23.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
2,2019-01-03,45,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,19,0.0,20.0,45.0,17.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
3,2019-01-04,46,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,8,17,1.0,23.0,46.0,29.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
4,2019-01-05,45,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,7,24,0.0,19.0,45.0,26.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
5,2019-01-06,32,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,32,0.0,9.0,25.0,26.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
6,2019-01-07,45,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,.,26,0.0,14.0,45.0,21.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
7,2019-01-08,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,25,0.0,15.0,48.0,11.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
8,2019-01-09,28,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,25,0.0,12.0,28.0,14.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
9,2019-01-10,36,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,25,0.0,14.0,36.0,36.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
10,2019-01-11,63,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,16,0.0,24.0,63.0,31.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
11,2019-01-12,65,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,31,0.0,23.0,65.0,26.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
12,2019-01-13,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,35,0.0,8.0,27.0,35.0,43.0389,-87.9065,Milwaukee,2020-03-25,592025
