,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,128,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,10,8,1,.,128.0,16.0,45.5051,-122.675,Portland,2020-03-23,653115
1,2019-01-02,76,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,13,12,1,.,76.0,16.0,45.5051,-122.675,Portland,2020-03-23,653115
2,2019-01-03,28,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,7,27,0,7,28.0,13.0,45.5051,-122.675,Portland,2020-03-23,653115
3,2019-01-04,27,PM2.5,Beaverton - Highland Park,41-067-0111,AQS,7,26,0,.,27.0,18.0,45.5051,-122.675,Portland,2020-03-23,653115
4,2019-01-05,46,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,7,33,0,.,46.0,20.0,45.5051,-122.675,Portland,2020-03-23,653115
5,2019-01-06,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,32,0,2,13.0,15.0,45.5051,-122.675,Portland,2020-03-23,653115
6,2019-01-07,35,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,5,29,1,.,35.0,26.0,45.5051,-122.675,Portland,2020-03-23,653115
7,2019-01-08,29,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,29,0,.,10.0,6.0,45.5051,-122.675,Portland,2020-03-23,653115
8,2019-01-09,26,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,26,0,6,20.0,20.0,45.5051,-122.675,Portland,2020-03-23,653115
9,2019-01-10,30,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,19,0,.,30.0,23.0,45.5051,-122.675,Portland,2020-03-23,653115
10,2019-01-11,73,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,19,0,.,73.0,10.0,45.5051,-122.675,Portland,2020-03-23,653115
11,2019-01-12,63,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,21,0,4,63.0,5.0,45.5051,-122.675,Portland,2020-03-23,653115
12,2019-01-13,62,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,24,0,.,62.0,4.0,45.5051,-122.675,Portland,2020-03-23,653115
13,2019-01-14,32,PM2.5,YACOLT - YACOLT RD,53-011-0022,AQS,2,23,0,.,32.0,6.0,45.5051,-122.675,Portland,2020-03-23,653115
14,2019-01-15,48,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,19,0,14,48.0,5.0,45.5051,-122.675,Portland,2020-03-23,653115
15,2019-01-16,55,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,18,0,.,55.0,7.0,45.5051,-122.675,Portland,2020-03-23,653115
16,2019-01-17,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,32,0,.,16.0,16.0,45.5051,-122.675,Portland,2020-03-23,653115
17,2019-01-18,27,NO2,Portland - SE Lafayette,41-051-0080,AQS,7,22,1,5,23.0,27.0,45.5051,-122.675,Portland,2020-03-23,653115
18,2019-01-19,46,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,8,14,1,.,46.0,23.0,45.5051,-122.675,Portland,2020-03-23,653115
19,2019-01-20,43,PM2.5,Beaverton - Highland Park,41-067-0111,AQS,8,18,0,.,43.0,25.0,45.5051,-122.675,Portland,2020-03-23,653115
20,2019-01-21,52,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,7,11,0,15,52.0,23.0,45.5051,-122.675,Portland,2020-03-23,653115
21,2019-01-22,28,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,6,28,0,.,28.0,20.0,45.5051,-122.675,Portland,2020-03-23,653115
22,2019-01-23,30,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,30,0,.,17.0,25.0,45.5051,-122.675,Portland,2020-03-23,653115
23,2019-01-24,56,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,9,12,.,16,56.0,32.0,45.5051,-122.675,Portland,2020-03-23,653115
