,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,142,PM2.5,TACOMA - L STREET,53-053-0029,AQS,10,9,1,.,142.0,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
1,2019-01-02,55,PM2.5,TACOMA - L STREET,53-053-0029,AQS,10,16,1,.,55.0,28.0,47.6062,-122.3321,Seattle,2020-03-23,744955
2,2019-01-03,52,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,9,31,1,4,52.0,48.0,47.6062,-122.3321,Seattle,2020-03-23,744955
3,2019-01-04,43,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,6,31,1,.,43.0,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
4,2019-01-05,52,PM2.5,TACOMA - L STREET,53-053-0029,AQS,9,26,4,.,52.0,40.0,47.6062,-122.3321,Seattle,2020-03-23,744955
5,2019-01-06,32,Ozone,SEATTLE - BEACON HILL,53-033-0080,AQS,7,32,1,4,25.0,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
6,2019-01-07,42,PM2.5,PUYALLUP - 128TH ST,53-053-1018,AQS,8,24,0,.,42.0,36.0,47.6062,-122.3321,Seattle,2020-03-23,744955
7,2019-01-08,49,NO2,Seattle-10th & Weller,53-033-0030,AQS,9,18,1,.,36.0,49.0,47.6062,-122.3321,Seattle,2020-03-23,744955
8,2019-01-09,53,PM2.5,TACOMA - ALEXANDER AVE,53-053-0031,AQS,9,21,1,4,53.0,31.0,47.6062,-122.3321,Seattle,2020-03-23,744955
9,2019-01-10,80,NO2,Tacoma-S 36th St,53-053-0024,AQS,3,19,0,.,31.0,80.0,47.6062,-122.3321,Seattle,2020-03-23,744955
10,2019-01-11,60,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,16,4,.,60.0,42.0,47.6062,-122.3321,Seattle,2020-03-23,744955
11,2019-01-12,77,PM2.5,TACOMA - L STREET,53-053-0029,AQS,8,42,6,17,77.0,39.0,47.6062,-122.3321,Seattle,2020-03-23,744955
12,2019-01-13,120,PM2.5,TACOMA - L STREET,53-053-0029,AQS,6,47,3,.,120.0,38.0,47.6062,-122.3321,Seattle,2020-03-23,744955
13,2019-01-14,92,PM2.5,TACOMA - L STREET,53-053-0029,AQS,5,45,3,.,92.0,35.0,47.6062,-122.3321,Seattle,2020-03-23,744955
14,2019-01-15,86,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,9,41,7,24,86.0,82.0,47.6062,-122.3321,Seattle,2020-03-23,744955
15,2019-01-16,87,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,8,35,7,.,87.0,58.0,47.6062,-122.3321,Seattle,2020-03-23,744955
16,2019-01-17,42,NO2,Seattle-10th & Weller,53-033-0030,AQS,3,37,3,.,39.0,42.0,47.6062,-122.3321,Seattle,2020-03-23,744955
17,2019-01-18,40,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,40,0,6,37.0,40.0,47.6062,-122.3321,Seattle,2020-03-23,744955
18,2019-01-19,38,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,38,0,.,38.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
19,2019-01-20,48,PM2.5,TACOMA - L STREET,53-053-0029,AQS,2,39,0,.,48.0,29.0,47.6062,-122.3321,Seattle,2020-03-23,744955
20,2019-01-21,63,PM2.5,TACOMA - L STREET,53-053-0029,AQS,5,36,1,14,63.0,31.0,47.6062,-122.3321,Seattle,2020-03-23,744955
21,2019-01-22,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,39,0,.,34.0,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
22,2019-01-23,38,NO2,Seattle-10th & Weller,53-033-0030,AQS,3,36,3,.,25.0,38.0,47.6062,-122.3321,Seattle,2020-03-23,744955
23,2019-01-24,48,PM2.5,LAKE FOREST PARK TOWNE CENTER,53-033-0024,AQS,5,42,3,11,48.0,36.0,47.6062,-122.3321,Seattle,2020-03-23,744955
24,2019-01-25,73,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,41,.,.,73.0,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
25,2019-01-26,81,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,39,1,.,81.0,22.0,47.6062,-122.3321,Seattle,2020-03-23,744955
26,2019-01-27,63,PM2.5,TACOMA - L STREET,53-053-0029,AQS,3,40,0,12,63.0,17.0,47.6062,-122.3321,Seattle,2020-03-23,744955
27,2019-01-28,47,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,42,1,.,47.0,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
28,2019-01-29,78,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,42,1,.,78.0,34.0,47.6062,-122.3321,Seattle,2020-03-23,744955
29,2019-01-30,85,PM2.5,Tacoma-S 36th St,53-053-0024,AQS,8,43,7,20,85.0,47.0,47.6062,-122.3321,Seattle,2020-03-23,744955
