Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,79,PM2.5,Idaho City,16-015-0001,AQS,8,28,0,13,79,.
1/2/2019,52,PM2.5,Idaho City,16-015-0001,AQS,9,22,0,9,52,.
1/3/2019,46,PM2.5,Idaho City,16-015-0001,AQS,9,21,1,16,46,.
1/4/2019,55,PM2.5,Idaho City,16-015-0001,AQS,15,18,1,27,55,.
1/5/2019,70,PM2.5,Idaho City,16-015-0001,AQS,15,33,3,18,70,.
1/6/2019,58,PM2.5,Idaho City,16-015-0001,AQS,9,31,0,9,58,.
1/7/2019,36,PM2.5,Idaho City,16-015-0001,AQS,9,31,0,10,36,.
1/8/2019,46,PM2.5,Idaho City,16-015-0001,AQS,10,29,0,13,46,.
1/9/2019,80,PM2.5,Idaho City,16-015-0001,AQS,10,22,0,14,80,.
1/10/2019,72,PM2.5,Idaho City,16-015-0001,AQS,7,23,1,19,72,.
1/11/2019,54,PM2.5,Idaho City,16-015-0001,AQS,7,24,1,11,54,.
1/12/2019,61,PM2.5,Idaho City,16-015-0001,AQS,6,28,1,10,61,.
1/13/2019,62,PM2.5,Idaho City,16-015-0001,AQS,7,24,0,16,62,.
1/14/2019,63,PM2.5,Idaho City,16-015-0001,AQS,6,21,1,21,63,.
1/15/2019,86,PM2.5,Idaho City,16-015-0001,AQS,9,13,3,15,86,.
1/16/2019,63,PM2.5,Idaho City,16-015-0001,AQS,9,31,3,14,63,.
1/17/2019,66,PM2.5,Idaho City,16-015-0001,AQS,8,31,1,7,66,.
1/18/2019,48,PM2.5,Idaho City,16-015-0001,AQS,7,30,0,9,48,.
1/19/2019,58,PM2.5,Idaho City,16-015-0001,AQS,6,30,0,4,58,.
1/20/2019,64,PM2.5,Idaho City,16-015-0001,AQS,6,24,1,8,64,.
1/21/2019,40,PM2.5,Idaho City,16-015-0001,AQS,6,31,0,7,40,.
1/22/2019,37,PM2.5,Idaho City,16-015-0001,AQS,6,24,0,11,37,.
1/23/2019,58,PM2.5,Idaho City,16-015-0001,AQS,7,21,0,9,58,.
1/24/2019,55,PM2.5,Nampa - Fire Station,16-027-0002,AQS,6,23,1,19,55,.
1/25/2019,50,PM2.5,Idaho City,16-015-0001,AQS,7,.,.,21,50,.
1/26/2019,64,PM2.5,Idaho City,16-015-0001,AQS,7,23,1,19,64,.
1/27/2019,56,PM2.5,Idaho City,16-015-0001,AQS,8,20,0,17,56,.
1/28/2019,55,PM2.5,Idaho City,16-015-0001,AQS,8,23,3,17,55,.
1/29/2019,63,PM2.5,Idaho City,16-015-0001,AQS,8,24,1,21,63,.
1/30/2019,57,PM2.5,Idaho City,16-015-0001,AQS,8,21,1,19,57,.
1/31/2019,58,PM2.5,Idaho City,16-015-0001,AQS,9,22,1,21,58,.
2/1/2019,59,PM2.5,Idaho City,16-015-0001,AQS,11,17,3,28,59,.
2/2/2019,63,PM2.5,Idaho City,16-015-0001,AQS,11,19,1,14,63,.
2/3/2019,52,PM2.5,Idaho City,16-015-0001,AQS,6,32,1,7,52,.
2/4/2019,43,PM2.5,Idaho City,16-015-0001,AQS,7,31,1,7,43,.
