Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,25,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,25,7
1/2/2019,46,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,46,18
1/3/2019,44,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,13,44,21
1/4/2019,52,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,0,.,52,21
1/5/2019,55,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,55,17
1/6/2019,43,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,43,21
1/7/2019,25,PM2.5,New Albany,39-049-0029,AQS,2,.,1,.,25,20
1/8/2019,26,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,26,15
1/9/2019,28,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,1,13,28,6
1/10/2019,23,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,23,6
1/11/2019,45,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,45,24
1/12/2019,63,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,63,16
1/13/2019,59,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,59,29
1/14/2019,58,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,58,34
1/15/2019,79,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,22,79,36
1/16/2019,43,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,43,26
1/17/2019,52,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,52,27
1/18/2019,71,PM2.5,Barack Rec Center,39-049-0039,AQS,5,.,0,.,71,20
1/19/2019,59,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,59,18
1/20/2019,34,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,.,34,6
1/21/2019,48,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,15,48,37
1/22/2019,45,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,.,45,24
1/23/2019,20,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,20,18
1/24/2019,46,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,.,.,46,15
1/25/2019,38,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,.,.,38,20
1/26/2019,41,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,.,.,41,13
1/27/2019,65,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,16,65,32
1/28/2019,52,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,.,52,21
1/29/2019,47,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,.,.,47,12
1/30/2019,38,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,38,12
1/31/2019,42,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,1,.,42,20
2/1/2019,54,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,.,54,34
2/2/2019,85,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,.,19,85,38
2/3/2019,69,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,.,.,69,40
2/4/2019,51,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,0,.,51,36
2/5/2019,44,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,0,.,44,13
2/6/2019,39,PM2.5,Smoky Row Near Road,39-049-0038,AQS,8,.,1,.,39,28
2/7/2019,33,PM2.5,Smoky Row Near Road,39-049-0038,AQS,7,.,0,.,33,19
2/8/2019,32,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,.,8,32,7
2/9/2019,49,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,.,.,49,25
2/10/2019,59,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,1,.,59,25
2/11/2019,46,PM2.5,Smoky Row Near Road,39-049-0038,AQS,6,.,0,.,46,24
2/12/2019,21,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,21,21
2/13/2019,38,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,38,14
2/14/2019,32,NO2,Fairgrounds,39-049-0034,AQS,2,.,0,17,30,32
2/15/2019,42,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,42,10
2/16/2019,41,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,41,8
2/17/2019,43,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,43,19
2/18/2019,48,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,48,15
2/19/2019,54,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,54,30
