Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,26,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,10,17,3,6,26,10
1/2/2019,33,PM2.5,Southwestern H.S.,26-163-0015,AQS,11,21,6,12,33,32
1/3/2019,50,PM2.5,Southwestern H.S.,26-163-0015,AQS,11,19,3,20,50,25
1/4/2019,97,PM2.5,FIA/Lafayette,26-163-0039,AirNow,17,14,7,34,97,37
1/5/2019,97,PM2.5,FIA/Lafayette,26-163-0039,AirNow,20,19,23,27,97,35
1/6/2019,29,Ozone,Allen Park,26-163-0001,AQS,7,29,7,13,23,15
1/7/2019,43,SO2,TRINITY ST MARKS (GHIB),26-163-0099,AQS,7,25,43,17,32,27
1/8/2019,108,PM2.5,Southwestern H.S.,26-163-0015,AQS,8,22,3,43,108,30
1/9/2019,38,PM2.5,Southwestern H.S.,26-163-0015,AQS,6,25,4,37,38,15
1/10/2019,47,PM10,,26-163-1005,AQS,7,29,4,47,30,34
1/11/2019,62,SO2,Port Huron,26-147-0005,AQS,9,23,62,28,45,37
1/12/2019,54,PM2.5,LIVONIA-NR,26-163-0095,AQS,8,27,41,20,54,25
1/13/2019,43,PM2.5,Military Park (GHIB),26-163-0100,AQS,9,22,17,11,43,31
1/14/2019,68,PM2.5,Southwestern H.S.,26-163-0015,AQS,16,19,26,42,68,45
1/15/2019,69,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,7,24,1,50,69,33
1/16/2019,30,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,25,4,22,30,29
1/17/2019,63,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,23,17,27,63,37
1/18/2019,65,PM2.5,Military Park (GHIB),26-163-0100,AQS,7,21,6,23,65,26
1/19/2019,31,Ozone,Allen Park,26-163-0001,AQS,6,31,11,9,30,15
1/20/2019,31,Ozone,Allen Park,26-163-0001,AQS,6,31,13,18,26,19
1/21/2019,43,PM2.5,Southwestern H.S.,26-163-0015,AQS,8,24,3,27,43,40
1/22/2019,54,PM2.5,Military Park (GHIB),26-163-0100,AQS,8,28,44,30,54,44
1/23/2019,49,PM2.5,Military Park (GHIB),26-163-0100,AQS,8,25,7,8,49,31
1/24/2019,50,PM2.5,Southwestern H.S.,26-163-0015,AQS,9,25,1,22,50,25
1/25/2019,59,SO2,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,27,59,56,57,26
1/26/2019,46,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,10,27,7,19,46,30
1/27/2019,50,PM2.5,Southwestern H.S.,26-163-0015,AQS,13,31,7,21,50,46
1/28/2019,62,SO2,Port Huron,26-147-0005,AQS,14,26,62,18,56,46
1/29/2019,63,PM2.5,Southwestern H.S.,26-163-0015,AQS,11,29,3,13,63,27
1/30/2019,108,SO2,,26-163-1008,AQS,6,29,108,21,60,29
1/31/2019,52,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,26,19,26,52,33
2/1/2019,82,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,26,24,31,82,44
2/2/2019,99,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,9,29,13,28,99,34
2/3/2019,81,PM2.5,Military Park (GHIB),26-163-0100,AQS,8,32,20,20,81,24
2/4/2019,86,SO2,Southwestern H.S.,26-163-0015,AQS,10,20,86,19,74,34
2/5/2019,34,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,7,22,20,18,34,22
2/6/2019,55,SO2,Port Huron,26-147-0005,AQS,10,19,55,15,51,29
2/7/2019,42,PM2.5,Southwestern H.S.,26-163-0015,AQS,10,22,7,11,42,24
2/8/2019,89,PM10,,26-163-1006,AQS,8,31,7,89,51,22
2/9/2019,44,SO2,Military Park (GHIB),26-163-0100,AQS,9,30,44,21,34,31
2/10/2019,45,PM2.5,Allen Park,26-163-0001,AQS,10,29,33,26,45,34
2/11/2019,62,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,27,21,58,62,26
2/12/2019,57,SO2,Port Huron,26-147-0005,AQS,9,31,57,23,33,31
2/13/2019,53,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,8,31,1,15,53,26
2/14/2019,59,PM2.5,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS,8,23,29,19,59,42
2/15/2019,52,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,9,35,9,18,52,25
2/16/2019,43,PM2.5,TRINITY ST MARKS (GHIB),26-163-0099,AQS,6,35,4,17,43,22
2/17/2019,36,Ozone,,26-099-1003,AQS,6,36,29,13,33,19
2/18/2019,43,PM2.5,Southwestern H.S.,26-163-0015,AQS,7,35,3,14,43,37
