Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,22,PM2.5,Indpls.- I 70,18-097-0087,AirNow,5,20,0,.,22,6
1/2/2019,40,PM2.5,Indpls.- I 70,18-097-0087,AirNow,5,19,1,.,40,11
1/3/2019,39,PM2.5,Indpls- E. Michigan St./ Thomas Gregg Sch. 15,18-097-0083,AQS,5,23,1,25,39,25
1/4/2019,58,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,29,30,.,58,34
1/5/2019,53,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,24,1,.,53,23
1/6/2019,62,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,6,22,1,17,62,22
1/7/2019,49,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,32,1,.,49,11
1/8/2019,41,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,30,1,.,41,19
1/9/2019,25,Ozone,Helmsburg,18-013-0001,AQS,2,25,0,21,23,12
1/10/2019,50,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,28,4,10,50,24
1/11/2019,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,28,4,16,62,19
1/12/2019,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,26,3,14,62,18
1/13/2019,65,SO2,AES/IPL- Eagle Valley/Centerton,18-109-1001,AQS,2,32,65,12,62,31
1/14/2019,74,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,35,3,19,74,44
1/15/2019,72,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,33,6,19,72,23
1/16/2019,45,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,24,1,5,45,25
1/17/2019,71,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,19,1,9,71,21
1/18/2019,68,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,24,3,14,68,23
1/19/2019,38,PM2.5,Anderson- Eastside Elem. School,18-095-0011,AQS,2,35,29,5,38,15
1/20/2019,36,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,3,36,7,2,24,33
1/21/2019,46,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,34,4,13,46,27
1/22/2019,44,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,34,4,11,44,15
1/23/2019,61,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,31,1,4,61,25
1/24/2019,56,PM2.5,Indpls- West St.,18-097-0043,AQS,5,32,1,14,56,22
1/25/2019,32,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,2,32,1,12,23,20
1/26/2019,56,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,28,3,11,56,14
1/27/2019,60,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,32,4,18,60,27
1/28/2019,57,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,34,1,9,57,16
1/29/2019,35,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,3,35,1,9,28,17
1/30/2019,34,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,33,1,9,34,19
1/31/2019,42,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,29,3,10,42,26
2/1/2019,81,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,24,11,20,81,34
2/2/2019,90,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,6,29,7,27,90,25
2/3/2019,55,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,10,40,4,13,55,35
2/4/2019,52,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,8,33,1,7,52,22
2/5/2019,54,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,19,3,10,54,20
2/6/2019,39,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,7,3,3,39,22
2/7/2019,30,Ozone,"AVON- 255 S. SR 267 (also 255 S. Avon Ave.) Avon, IN",18-063-0004,AQS,6,30,3,1,27,16
2/8/2019,32,Ozone,Helmsburg,18-013-0001,AQS,5,32,1,29,31,14
2/9/2019,53,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,31,4,11,53,19
2/10/2019,57,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,3,22,1,12,57,18
2/11/2019,53,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,14,9,9,53,25
2/12/2019,35,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,6,35,0,2,27,19
2/13/2019,36,Ozone,Helmsburg,18-013-0001,AQS,3,36,3,.,29,19
2/14/2019,39,Ozone,Helmsburg,18-013-0001,AQS,6,39,1,13,26,19
2/15/2019,57,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,34,0,.,57,20
2/16/2019,40,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,32,21,.,40,16
2/17/2019,54,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,25,1,10,54,18
2/18/2019,51,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,36,1,.,51,29
2/19/2019,60,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,38,11,.,60,36
2/20/2019,29,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,29,3,9,29,20
2/21/2019,64,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,38,1,10,64,30
2/22/2019,82,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,31,24,21,82,26
2/23/2019,70,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,9,29,3,19,70,17
2/24/2019,43,Ozone,Helmsburg,18-013-0001,AQS,10,43,1,7,26,9
2/25/2019,38,Ozone,Helmsburg,18-013-0001,AQS,3,38,1,8,22,31
2/26/2019,74,SO2,AES/IPL- Eagle Valley/Centerton,18-109-1001,AQS,3,32,74,37,51,25
2/27/2019,66,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,30,4,19,66,26
2/28/2019,63,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,31,26,10,63,23
3/1/2019,57,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,38,33,15,57,27
3/2/2019,72,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,35,7,16,72,23
3/3/2019,37,Ozone,Helmsburg,18-013-0001,AQS,2,37,7,6,34,14
3/4/2019,38,PM2.5,Indpls- West St.,18-097-0043,AQS,3,36,1,20,38,19
3/5/2019,39,Ozone,Helmsburg,18-013-0001,AQS,2,39,1,12,36,24
3/6/2019,41,Ozone,Helmsburg,18-013-0001,AQS,6,41,1,10,33,26
3/7/2019,60,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,40,7,19,60,35
3/8/2019,70,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,34,3,15,70,17
3/9/2019,45,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,6,33,3,6,45,14
3/10/2019,59,PM2.5,Indpls- West St.,18-097-0043,AQS,6,40,0,26,59,23
3/11/2019,44,Ozone,Helmsburg,18-013-0001,AQS,9,44,1,8,28,37
3/12/2019,53,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,44,1,16,53,42
3/13/2019,46,Ozone,Helmsburg,18-013-0001,AQS,8,46,1,10,33,15
3/14/2019,46,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,44,0,13,46,16
3/15/2019,37,Ozone,Helmsburg,18-013-0001,AQS,6,37,0,3,23,23
3/16/2019,42,Ozone,Helmsburg,18-013-0001,AQS,9,42,1,21,34,38
3/17/2019,56,PM2.5,Indpls.- I 70,18-097-0087,AQS,11,43,1,.,56,36
3/18/2019,54,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,44,1,.,54,39
3/19/2019,77,PM2.5,Indpls.- I 70,18-097-0087,AQS,14,47,1,33,77,45
3/20/2019,55,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,6,45,3,.,55,38
3/21/2019,72,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,33,0,10,72,26
3/22/2019,44,Ozone,Helmsburg,18-013-0001,AQS,6,44,1,18,25,25
3/23/2019,46,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,9,44,21,17,46,37
3/24/2019,66,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,10,41,33,16,66,33
3/25/2019,51,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,40,47,9,51,18
3/26/2019,43,Ozone,Helmsburg,18-013-0001,AQS,6,43,16,.,37,30
3/27/2019,52,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,47,4,.,52,29
3/28/2019,64,Ozone,Helmsburg,18-013-0001,AQS,9,64,3,37,54,25
3/29/2019,73,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,46,1,17,73,13
3/30/2019,40,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,7,40,0,3,26,8
3/31/2019,42,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,6,42,0,6,20,26
4/1/2019,54,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,43,3,14,54,32
4/2/2019,47,Ozone,Monrovia- Monrovia HS.,18-109-0005,AQS,9,47,6,14,35,29
4/3/2019,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,10,45,1,46,62,26
4/4/2019,51,Ozone,Helmsburg,18-013-0001,AQS,8,51,39,14,43,8
4/5/2019,64,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,11,44,10,16,64,27
4/6/2019,95,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,15,50,17,30,95,30
4/7/2019,55,PM2.5,Indpls.- I 70,18-097-0087,AQS,9,40,9,10,55,8
4/8/2019,49,Ozone,Monrovia- Monrovia HS.,18-109-0005,AQS,14,49,1,14,43,31
4/9/2019,50,Ozone,Helmsburg,18-013-0001,AQS,13,50,1,33,31,33
4/10/2019,45,Ozone,Helmsburg,18-013-0001,AQS,10,45,1,9,42,27
4/11/2019,48,Ozone,Helmsburg,18-013-0001,AQS,8,48,3,16,34,8
4/12/2019,44,Ozone,Helmsburg,18-013-0001,AQS,9,44,0,10,29,25
4/13/2019,45,Ozone,Helmsburg,18-013-0001,AQS,8,45,10,12,26,30
4/14/2019,37,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,6,37,26,1,31,14
4/15/2019,44,Ozone,Helmsburg,18-013-0001,AQS,7,44,0,8,22,14
4/16/2019,64,Ozone,Helmsburg,18-013-0001,AQS,15,64,1,17,34,30
4/17/2019,64,Ozone,Helmsburg,18-013-0001,AQS,11,64,3,19,48,24
4/18/2019,44,Ozone,Helmsburg,18-013-0001,AQS,8,44,1,10,40,12
4/19/2019,37,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,5,37,0,0,15,11
4/20/2019,37,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,5,37,1,1,25,21
4/21/2019,51,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,9,51,3,10,43,24
4/22/2019,61,Ozone,Indpls.- I 70,18-097-0087,AQS,6,61,3,16,48,17
4/23/2019,58,PM2.5,Indpls.- I 70,18-097-0087,AQS,9,44,1,13,58,18
4/24/2019,39,SO2,AES/IPL- Eagle Valley/Centerton,18-109-1001,AQS,6,35,39,9,26,22
4/25/2019,69,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,37,3,9,69,30
4/26/2019,48,Ozone,Helmsburg,18-013-0001,AQS,7,48,0,12,30,7
4/27/2019,40,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,5,40,3,16,38,19
4/28/2019,44,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,5,44,6,6,29,7
4/29/2019,50,PM2.5,Indpls.- I 70,18-097-0087,AQS,14,45,1,12,50,8
4/30/2019,60,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,44,13,15,60,19
5/1/2019,45,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,11,44,1,12,45,27
5/2/2019,37,PM2.5,Indpls.- I 70,18-097-0087,AQS,11,37,1,.,37,19
5/3/2019,59,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,26,1,15,59,17
5/4/2019,36,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,34,21,7,36,6
5/5/2019,50,Ozone,Helmsburg,18-013-0001,AQS,11,50,4,19,40,26
5/6/2019,67,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,19,67,1,30,63,25
5/7/2019,58,Ozone,Helmsburg,18-013-0001,AQS,16,58,23,29,55,30
5/8/2019,67,Ozone,Helmsburg,18-013-0001,AQS,9,67,16,19,37,9
5/9/2019,50,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,42,0,19,50,10
5/10/2019,34,PM2.5,Indpls.- I 70,18-097-0087,AQS,5,31,1,8,34,20
5/11/2019,59,SO2,AES/IPL- Eagle Valley/Centerton,18-109-1001,AQS,5,39,59,8,23,14
5/12/2019,31,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,7,31,26,5,25,9
5/13/2019,57,PM2.5,Indpls.- I 70,18-097-0087,AQS,9,39,1,16,57,24
5/14/2019,60,PM2.5,Indpls.- I 70,18-097-0087,AQS,14,54,6,27,60,32
5/15/2019,64,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,13,51,3,52,64,31
5/16/2019,66,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,10,47,1,21,66,21
5/17/2019,58,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,14,58,11,20,56,17
5/18/2019,64,PM2.5,Indpls.- I 70,18-097-0087,AQS,9,64,1,30,64,18
5/19/2019,48,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,44,1,13,48,8
5/20/2019,30,Ozone,Helmsburg,18-013-0001,AQS,7,30,1,7,20,8
5/21/2019,32,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,5,32,19,14,24,8
5/22/2019,55,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,44,1,16,55,23
5/23/2019,49,PM2.5,Indpls.- I 70,18-097-0087,AQS,10,42,1,16,49,22
5/24/2019,55,PM2.5,Indpls.- I 70,18-097-0087,AQS,10,44,1,23,55,21
5/25/2019,55,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,14,44,1,18,55,20
5/26/2019,49,Ozone,"TRITON Middle SCHOOL, NORTH OF FAIRLAND",18-145-0001,AQS,10,49,1,11,43,13
5/27/2019,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,44,1,18,62,15
5/28/2019,66,PM2.5,Indpls.- I 70,18-097-0087,AQS,16,47,1,26,66,13
5/29/2019,54,PM2.5,Indpls.- I 70,18-097-0087,AQS,10,36,4,18,54,23
5/30/2019,48,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,10,48,1,10,48,25
5/31/2019,58,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,15,58,3,20,51,27
6/1/2019,58,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,13,58,1,26,53,25
6/2/2019,55,PM2.5,Indpls.- I 70,18-097-0087,AQS,9,48,3,21,55,16
6/3/2019,55,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,11,54,3,33,55,26
6/4/2019,80,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,8,80,3,.,59,21
6/5/2019,57,PM2.5,Carmel- Hazel Dell Pkwy.,18-057-0008,AQS,11,44,1,17,57,25
6/6/2019,93,Ozone,"AVON- 255 S. SR 267 (also 255 S. Avon Ave.) Avon, IN",18-063-0004,AQS,8,93,1,.,52,16
6/7/2019,66,PM2.5,Indpls.- I 70,18-097-0087,AQS,9,61,19,.,66,21
6/8/2019,57,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,8,49,1,19,57,8
6/9/2019,36,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,31,0,7,36,16
6/10/2019,50,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,43,1,11,50,25
6/11/2019,64,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,9,64,1,25,54,30
6/12/2019,54,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,14,54,17,22,43,25
6/13/2019,38,PM2.5,Indpls.- I 70,18-097-0087,AQS,10,38,0,10,38,23
6/14/2019,58,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,8,58,4,24,45,20
6/15/2019,61,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,41,0,14,61,19
6/16/2019,44,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,9,44,0,9,40,9
6/17/2019,49,PM2.5,Indpls.- I 70,18-097-0087,AQS,10,36,0,13,49,18
6/18/2019,48,PM2.5,Indpls.- I 70,18-097-0087,AQS,13,44,0,11,48,25
6/19/2019,52,PM2.5,Indpls.- I 70,18-097-0087,AQS,13,46,0,16,52,21
6/20/2019,41,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,15,41,0,16,40,13
6/21/2019,53,PM2.5,Indpls.- I 70,18-097-0087,AQS,18,44,0,19,53,22
6/22/2019,54,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,15,41,1,22,54,15
6/23/2019,39,PM2.5,Indpls- W. 18th St./ Ernie Pyle School 90,18-097-0081,AQS,8,37,1,13,39,8
6/24/2019,41,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,13,41,0,7,30,16
6/25/2019,51,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,23,51,0,15,26,16
6/26/2019,67,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,14,67,0,35,57,17
6/27/2019,105,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,13,105,0,24,53,21
6/28/2019,67,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,10,67,0,29,52,19
6/29/2019,60,PM2.5,Indpls.- I 70,18-097-0087,AQS,14,58,0,31,60,18
6/30/2019,64,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,13,64,0,23,55,9
7/1/2019,61,Ozone,"TRITON Middle SCHOOL, NORTH OF FAIRLAND",18-145-0001,AQS,19,61,0,19,30,13
7/2/2019,59,PM2.5,Indpls- West St.,18-097-0043,AQS,13,50,0,42,59,13
7/3/2019,62,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,47,0,24,62,17
7/4/2019,86,PM2.5,Indpls- Washington Park/  in parking lot next to police station,18-097-0078,AQS,5,71,0,40,86,25
7/5/2019,77,PM2.5,11775 Brooks School Rd.,18-057-0007,AQS,6,43,0,21,77,16
7/6/2019,63,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,46,0,20,63,18
7/7/2019,75,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,44,0,18,75,15
7/8/2019,74,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,54,0,40,74,30
7/9/2019,87,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,7,87,0,26,72,29
7/10/2019,77,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,8,77,0,33,62,25
7/11/2019,58,Ozone,"TRITON Middle SCHOOL, NORTH OF FAIRLAND",18-145-0001,AQS,6,58,0,18,33,24
7/12/2019,58,Ozone,Helmsburg,18-013-0001,AQS,7,58,0,14,52,26
7/13/2019,97,Ozone,SCHOOL LOCATED ON THE SW CORNER OF US 36 AND IND 109,18-095-0010,AQS,10,97,0,31,62,26
7/14/2019,108,Ozone,Indpls.- Ft. Harrison,18-097-0050,AQS,7,108,0,26,58,17
7/15/2019,59,PM2.5,Indpls.- I 70,18-097-0087,AQS,6,43,0,.,59,16
7/16/2019,44,PM2.5,11775 Brooks School Rd.,18-057-0007,AQS,5,28,0,.,44,9
7/17/2019,40,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,7,40,0,8,38,16
7/18/2019,51,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,46,0,.,51,19
7/19/2019,61,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,37,0,22,61,9
7/20/2019,56,PM2.5,Indpls.- I 70,18-097-0087,AQS,2,37,0,29,56,14
7/21/2019,52,PM2.5,Indpls.- I 70,18-097-0087,AQS,3,35,0,17,52,14
7/22/2019,30,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,2,30,0,8,28,13
7/23/2019,50,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,40,0,12,50,20
7/24/2019,48,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,41,0,17,48,28
7/25/2019,77,Ozone,"Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN",18-011-0001,AQS,8,77,0,22,56,36
7/26/2019,67,Ozone,Our Lady of Grace- Noblesville,18-057-0006,AQS,10,67,0,51,59,28
7/27/2019,71,PM2.5,Indpls.- I 70,18-097-0087,AQS,8,64,1,31,71,25
7/28/2019,67,PM2.5,Indpls.- I 70,18-097-0087,AQS,7,46,1,31,67,11
