Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,45,PM2.5,MASPETH LIBRARY,36-081-0120,AQS,6,30,0,.,45,38
1/2/2019,64,PM2.5,PS 19,36-061-0128,AQS,7,29,6,.,64,32
1/3/2019,54,PM2.5,PS 19,36-061-0128,AQS,6,26,3,11,54,37
1/4/2019,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,20,6,.,60,34
1/5/2019,50,PM2.5,DIVISION STREET,36-061-0134,AQS,9,26,33,.,50,31
1/6/2019,51,PM2.5,DIVISION STREET,36-061-0134,AQS,7,33,1,6,51,23
1/7/2019,44,NO2,Newark Firehouse,34-013-0003,AQS,7,33,1,.,36,44
1/8/2019,75,PM2.5,Fort Lee Near Road,34-003-0010,AQS,14,29,4,.,75,67
1/9/2019,38,PM2.5,PS 314,36-047-0052,AQS,9,27,1,8,38,33
1/10/2019,42,PM2.5,Intermediate School 143,36-061-0115,AQS,6,33,1,.,42,19
1/11/2019,45,PM2.5,IS 74,36-005-0112,AQS,6,38,3,.,45,45
1/12/2019,43,PM2.5,HOLTSVILLE,36-103-0009,AQS,6,35,3,6,43,33
1/13/2019,42,PM2.5,PS 19,36-061-0128,AQS,6,35,1,.,42,23
1/14/2019,52,NO2,Elizabeth Lab,34-039-0004,AQS,8,33,4,.,42,52
1/15/2019,63,NO2,Newark Firehouse,34-013-0003,AQS,13,30,4,29,59,63
1/16/2019,67,PM2.5,Jersey City Firehouse,34-017-1003,AQS,10,34,7,.,67,45
1/17/2019,44,PM2.5,PS 19,36-061-0128,AQS,8,34,4,.,44,42
1/18/2019,94,NO2,Fort Lee Near Road,34-003-0010,AQS,10,31,3,19,71,94
1/19/2019,56,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,34,6,.,56,34
1/20/2019,37,PM2.5,PS 19,36-061-0128,AQS,7,34,9,.,37,36
1/21/2019,50,PM2.5,Intermediate School 143,36-061-0115,AQS,6,37,4,12,50,26
1/22/2019,54,NO2,Fort Lee Near Road,34-003-0010,AQS,8,36,6,.,52,54
1/23/2019,54,NO2,Newark Firehouse,34-013-0003,AQS,11,37,6,.,49,54
1/24/2019,49,NO2,Newark Firehouse,34-013-0003,AQS,14,38,3,6,33,49
1/25/2019,46,PM2.5,Intermediate School 143,36-061-0115,AQS,5,36,1,.,46,42
1/26/2019,48,PM2.5,HOLTSVILLE,36-103-0009,AQS,8,35,3,.,48,41
1/27/2019,51,PM2.5,Flemington,34-019-0001,AQS,16,41,3,15,51,50
1/28/2019,54,PM2.5,PS 19,36-061-0128,AQS,8,36,1,.,54,42
1/29/2019,69,NO2,Fort Lee Near Road,34-003-0010,AQS,17,35,6,.,60,69
1/30/2019,54,PM2.5,Intermediate School 143,36-061-0115,AQS,9,37,7,13,54,32
1/31/2019,49,PM2.5,Intermediate School 143,36-061-0115,AQS,10,33,6,.,49,45
2/1/2019,53,NO2,Fort Lee Near Road,34-003-0010,AQS,11,35,6,.,51,53
2/2/2019,80,PM2.5,Flemington,34-019-0001,AQS,10,32,6,31,80,49
2/3/2019,92,PM2.5,Fort Lee Near Road,34-003-0010,AQS,13,41,6,.,92,51
2/4/2019,83,PM2.5,IS 52,36-005-0110,AQS,16,38,10,.,83,65
2/5/2019,81,PM2.5,Jersey City Firehouse,34-017-1003,AQS,18,36,4,.,81,68
2/6/2019,80,NO2,Fort Lee Near Road,34-003-0010,AQS,7,28,3,.,42,80
2/7/2019,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,25,1,.,51,41
2/8/2019,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,35,4,9,43,37
2/9/2019,37,Ozone,MILLBROOK,36-027-0007,AQS,5,37,3,.,35,15
2/10/2019,35,Ozone,MILLBROOK,36-027-0007,AQS,6,35,3,.,30,30
2/11/2019,58,PM2.5,Rutgers University,34-023-0011,AQS,10,35,3,18,58,46
2/12/2019,63,NO2,Fort Lee Near Road,34-003-0010,AQS,8,40,14,.,42,63
2/13/2019,42,PM2.5,Intermediate School 143,36-061-0115,AQS,9,38,1,.,42,41
2/14/2019,51,NO2,Newark Firehouse,34-013-0003,AQS,8,44,3,15,50,51
2/15/2019,68,NO2,Fort Lee Near Road,34-003-0010,AQS,10,43,3,.,63,68
2/16/2019,39,PM2.5,PS 19,36-061-0128,AQS,8,38,3,.,39,19
2/17/2019,40,Ozone,MILLBROOK,36-027-0007,AQS,8,40,1,.,30,27
2/18/2019,42,NO2,Bayonne,34-017-0006,AQS,10,41,1,.,41,42
