Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,68,PM2.5,Chalmette Vista,22-087-0007,AQS,3,17,4,25,68,15
1/2/2019,39,SO2,Norco,22-089-0006,AQS,6,17,39,10,33,14
1/3/2019,43,SO2,Norco,22-089-0006,AQS,5,19,43,6,13,14
1/4/2019,31,Ozone,Kenner,22-051-1001,AQS,6,31,6,11,21,15
1/5/2019,45,PM2.5,Chalmette Vista,22-087-0007,AQS,8,34,6,14,45,34
1/6/2019,62,PM2.5,Chalmette Vista,22-087-0007,AQS,10,44,24,20,62,39
1/7/2019,48,PM2.5,Chalmette Vista,22-087-0007,AQS,9,32,34,16,48,34
1/8/2019,50,PM2.5,Chalmette Vista,22-087-0007,AQS,7,32,4,19,50,37
1/9/2019,37,Ozone,Kenner,22-051-1001,AQS,7,37,3,7,18,3
1/10/2019,35,Ozone,Kenner,22-051-1001,AQS,7,35,3,12,29,8
1/11/2019,71,SO2,Norco,22-089-0006,AQS,8,36,71,14,44,20
1/12/2019,43,PM2.5,Chalmette Vista,22-087-0007,AQS,3,30,24,11,43,25
1/13/2019,23,Ozone,Kenner,22-051-1001,AQS,2,23,4,6,20,7
1/14/2019,43,PM2.5,Chalmette Vista,22-087-0007,AQS,3,26,3,12,43,3
1/15/2019,43,PM2.5,Chalmette Vista,22-087-0007,AQS,6,27,4,13,43,25
1/16/2019,55,PM2.5,Chalmette Vista,22-087-0007,AQS,6,31,4,16,55,30
1/17/2019,57,PM2.5,Chalmette Vista,22-087-0007,AQS,6,27,29,14,57,34
1/18/2019,32,PM2.5,Kenner,22-051-1001,AQS,2,32,10,8,32,22
1/19/2019,31,SO2,Chalmette Vista,22-087-0007,AQS,2,31,31,12,21,13
1/20/2019,35,Ozone,Kenner,22-051-1001,AQS,3,35,3,10,31,3
1/21/2019,52,SO2,Norco,22-089-0006,AQS,5,39,52,9,30,12
1/22/2019,52,PM2.5,Chalmette Vista,22-087-0007,AQS,5,40,3,18,52,29
1/23/2019,34,Ozone,Meraux,22-087-0004,AQS,3,34,27,9,24,25
1/24/2019,32,Ozone,Kenner,22-051-1001,AQS,5,32,1,11,31,14
1/25/2019,38,NO2,Kenner,22-051-1001,AQS,7,37,31,12,35,38
1/26/2019,50,PM2.5,New Orleans / City Park,22-071-0012,AirNow,11,40,11,16,50,37
1/27/2019,47,PM2.5,Chalmette Vista,22-087-0007,AQS,7,38,7,15,47,40
1/28/2019,47,PM2.5,Chalmette Vista,22-087-0007,AQS,7,45,27,17,47,35
1/29/2019,36,Ozone,Meraux,22-087-0004,AQS,3,36,1,4,15,17
1/30/2019,37,Ozone,Meraux,22-087-0004,AQS,6,37,19,6,26,24
1/31/2019,47,SO2,Norco,22-089-0006,AQS,6,40,47,16,30,13
2/1/2019,59,SO2,Norco,22-089-0006,AQS,5,35,59,19,50,11
2/2/2019,55,PM2.5,Chalmette Vista,22-087-0007,AQS,6,31,46,15,55,16
2/3/2019,40,PM2.5,Chalmette Vista,22-087-0007,AQS,5,29,17,9,40,24
2/4/2019,27,Ozone,Madisonville,22-103-0002,AQS,6,27,10,6,23,22
2/5/2019,33,PM2.5,Chalmette Vista,22-087-0007,AQS,6,20,29,10,33,15
2/6/2019,40,SO2,Chalmette Vista,22-087-0007,AQS,5,25,40,14,32,14
2/7/2019,34,PM2.5,Chalmette Vista,22-087-0007,AQS,5,31,30,14,34,19
2/8/2019,31,Ozone,Kenner,22-051-1001,AQS,6,31,1,6,17,3
2/9/2019,35,PM2.5,Chalmette Vista,22-087-0007,AQS,7,34,26,11,35,10
2/10/2019,54,PM2.5,Chalmette Vista,22-087-0007,AQS,7,31,41,17,54,9
2/11/2019,37,SO2,Chalmette Vista,22-087-0007,AQS,6,30,37,6,27,17
2/12/2019,34,Ozone,Kenner,22-051-1001,AQS,6,34,7,11,19,18
2/13/2019,39,Ozone,Meraux,22-087-0004,AQS,.,39,6,20,31,39
