Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2019,128,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,10,8,1,.,128,16
1/2/2019,76,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,13,12,1,.,76,16
1/3/2019,28,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,7,27,0,7,28,13
1/4/2019,27,PM2.5,Beaverton - Highland Park,41-067-0111,AQS,7,26,0,.,27,18
1/5/2019,46,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,7,33,0,.,46,20
1/6/2019,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,32,0,2,13,15
1/7/2019,35,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,5,29,1,.,35,26
1/8/2019,29,Ozone,Portland - SE Lafayette,41-051-0080,AQS,3,29,0,.,10,6
1/9/2019,26,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,26,0,6,20,20
1/10/2019,30,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,19,0,.,30,23
1/11/2019,73,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,6,19,0,.,73,10
1/12/2019,63,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,21,0,4,63,5
1/13/2019,62,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,24,0,.,62,4
1/14/2019,32,PM2.5,YACOLT - YACOLT RD,53-011-0022,AQS,2,23,0,.,32,6
1/15/2019,48,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,19,0,14,48,5
1/16/2019,55,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,18,0,.,55,7
1/17/2019,32,Ozone,Portland - SE Lafayette,41-051-0080,AQS,5,32,0,.,16,16
1/18/2019,27,NO2,Portland - SE Lafayette,41-051-0080,AQS,7,22,1,5,23,27
1/19/2019,46,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,8,14,1,.,46,23
1/20/2019,43,PM2.5,Beaverton - Highland Park,41-067-0111,AQS,8,18,0,.,43,25
1/21/2019,52,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,7,11,0,15,52,23
1/22/2019,28,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,6,28,0,.,28,20
1/23/2019,30,Ozone,Portland - SE Lafayette,41-051-0080,AQS,6,30,0,.,17,25
1/24/2019,56,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,9,12,.,16,56,32
1/25/2019,60,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,13,6,.,.,60,23
1/26/2019,82,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,18,3,.,.,82,16
1/27/2019,72,PM2.5,Portland Cully Helensview School (PCH),41-051-2011,AQS,11,8,.,20,72,18
1/28/2019,33,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,7,29,.,.,33,12
1/29/2019,51,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,2,25,.,.,51,6
1/30/2019,64,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,7,22,.,7,64,26
1/31/2019,76,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,9,12,.,.,76,28
2/1/2019,84,PM2.5,Hillsboro - Hare Field,41-067-0004,AQS,8,8,.,.,84,23
2/2/2019,41,PM2.5,Portland - SE Lafayette,41-051-0080,AQS,6,24,0,10,41,18
